,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
10,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,R,248.23,"1,530",45,"2,655",334,"4,576",67,"3,953",368,1530.0,45.0,2655.0,334.0,0,1850253.0,457790.0,457790.0,2423954.0,2971411.0,347544.0,5422521.0,5236845.0,16940619.0,22177464.0,256541.0,9153.0,2423954.0,0,0,0,200113.0,0,0,26468375.0,-21475680.0,566124.0,327726.0,0,6086658.0,0.0,0,641530.0,641530.0,33177765.0,6715855.0,1173568.0,3724.0,871441.0,22265.0,3014818.0,11934329.0,0,20310858.0,0,0,20310858.0,32245187.0,932578.0,932578.0,33177765.0,40832.0,0,5565312.0,16612152.0,22177464.0,4885260.0,5395365.0,-510105.0,19032.0,-491073.0,0,-491073.0,0.24,1253663.0,7225724.0
11,SSM - ST. FRANCIS HOSPITAL,2016 SOUTH MAIN STREET,MARYVILLE,MO,64468,NODAWAY,R,66.88,"1,149",38,"3,420",317,"21,183",52,"4,680",483,761.0,38.0,3420.0,317.0,484688.0,876753.0,1042569.0,1559104.0,7366568.0,10735462.0,168835.0,13079980.0,8210211.0,20392797.0,28603008.0,1530471.0,619071.0,7362058.0,217383.0,1705.0,0,3743518.0,0,0,5693387.0,-4499156.0,7017.0,61965.0,0,14783647.0,0.0,0,765091.0,765091.0,15548738.0,542494.0,41804.0,2142.0,0,765091.0,3205243.0,4556774.0,0,-22500.0,0,0,-22500.0,4534274.0,11014464.0,11014464.0,15548738.0,0,0,8574364.0,23223367.0,31797731.0,15942782.0,18102030.0,-2159248.0,2775337.0,616089.0,0,616089.0,0.46,785327.0,3265422.0
12,RANSOM MEMORIAL HOSPITAL,1301 SOUTH MAIN,OTTAWA,KS,66067-3598,FRANKLIN,R,102.36,"1,434",47,"5,640",469,"6,544",47,"5,640",469,1315.0,42.0,5040.0,469.0,86707.0,2574985.0,1439995.0,1827809.0,6951391.0,7869104.0,737198.0,10753669.0,7009590.0,26482085.0,33491675.0,1179840.0,75444.0,6951391.0,80000.0,0,0,2347188.0,0,0,17142043.0,-11398166.0,895081.0,383773.0,0,9727520.0,0.0,1239726.0,-220.0,1239506.0,32178378.0,1939956.0,2242198.0,0,306976.0,0,612633.0,5101763.0,0,0,0,-200.0,-200.0,5101563.0,27076815.0,27076815.0,32178378.0,0,0,7183479.0,28454292.0,35637771.0,15691036.0,14820495.0,870541.0,812042.0,1682583.0,1850171.0,-167588.0,0.32,733877.0,3493439.0
13,KENNEDY UNIVERSITY HOSPITAL,500 MARLBORO AVENUE,CHERRY HILL,NJ,08034,CAMDEN,U,"3,169.84","63,080",522,"94,482","13,305","84,156",522,"94,482","13,305",54553.0,455.0,82355.0,13305.0,4007446.0,17059657.0,6927232.0,14498768.0,118201649.0,171505468.0,15981049.0,254444052.0,1208425312.0,604523749.0,1812949061.0,25481927.0,0,117141251.0,2054948.0,0,54586.0,36976433.0,222871803.0,0,106822366.0,0,11985648.0,0,4361626.0,383017876.0,0.0,14843493.0,373910900.0,388754393.0,1291837386.0,55569463.0,22195195.0,0,1568587.0,315965.0,4166511.0,83815720.0,598758437.0,0,0,58884000.0,657642437.0,741458157.0,550379229.0,550379229.0,1291837386.0,16233738.0,6840514.0,1208425315.0,604523750.0,1812949065.0,293356093.0,289707117.0,3648976.0,50176099.0,53825075.0,0,53825075.0,0.14,41079674.0,372262657.0
14,MARION COUNTY MEDICAL CENTER,289 EAST HWY 76,MULLINS,SC,29574,MARION,R,115.63,"2,941",94,"14,194",744,"15,252",186,"28,086",744,2473.0,84.0,12684.0,744.0,753988.0,4851848.0,1559894.0,2390109.0,5949098.0,29383678.0,1076626.0,14721171.0,36142785.0,57832930.0,93975715.0,1051835.0,0,5949098.0,346957.0,0,0,-90451.0,0,0,18291105.0,-11266282.0,1109485.0,272238.0,0,8316095.0,0.0,0,-9329378.0,-9329378.0,14423170.0,3114777.0,1580536.0,0,0,0,73981.0,150582270.0,0,0,0,0,0,150582270.0,-136159100.0,-136159100.0,14423170.0,793921.0,0,36142785.0,57832930.0,93975715.0,16956802.0,35332776.0,-18375974.0,106921.0,-18269053.0,0,-18269053.0,0.16,1903483.0,17451105.0
15,SPRINGS MEMORIAL HOSPITAL,800 WEST MEETING STREET,LANCASTER,SC,29720,LANCASTER,R,113.02,"4,554",166,"14,940","1,135","7,428",215,"19,350","1,266",3877.0,146.0,13140.0,1135.0,1693048.0,14880255.0,3229675.0,5086810.0,8160637.0,46499168.0,166917.0,24771544.0,111527758.0,134074979.0,245602737.0,1595627.0,0,8160637.0,110142.0,0,0,-1472175.0,0,0,74449375.0,-64219724.0,3027182.0,903729.0,199602.0,12887989.0,0.0,0,2150700.0,2150700.0,20202408.0,2371558.0,3453078.0,0,434671.0,0,367931.0,220133863.0,0,1459576.0,0,19634.0,1479210.0,221613073.0,-201410665.0,-201410665.0,20202408.0,397657.0,0,111527759.0,134074979.0,245602738.0,22624345.0,54659805.0,-32035460.0,65673.0,-31969787.0,0,-31969787.0,0.1,1527799.0,44387979.0
16,CHESTER REGIONAL MEDICAL CENTER,ONE MEDICAL PARK DRIVE,CHESTER,SC,29706,CHESTER,R,47.75,"1,163",36,"5,436",340,"2,574",116,"17,516",340,1160.0,30.0,4530.0,340.0,931635.0,2760267.0,1691305.0,3782256.0,3702412.0,13617902.0,652448.0,16982320.0,19720067.0,42719004.0,62439071.0,411855.0,0,3702412.0,0,0,0,-406857.0,0,0,10859834.0,-7037076.0,740054.0,346399.0,7025.0,4509379.0,0.0,0,1151313.0,1151313.0,17569871.0,435340.0,955015.0,97205.0,0,0,80010.0,31230453.0,0,0,0,0,0,31230453.0,-13660582.0,-13660582.0,17569871.0,648691.0,0,19720067.0,42719004.0,62439071.0,10531583.0,17320314.0,-6788731.0,30111.0,-6758620.0,0,-6758620.0,0.27,1563433.0,13436126.0
17,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,U,32.37,"3,058",34,"4,182",104,"3,058",34,"4,182",104,3058.0,34.0,4182.0,104.0,0,0,0,0,2151821.0,2424818.0,104864.0,5817495.0,13061584.0,0,13061584.0,0,0,0,0,0,0,5762361.0,0,0,6145591.0,-3780352.0,184161.0,163323.0,0,8533810.0,0.0,0,0,0,9013661.0,1122104.0,489153.0,21497.0,0,0,0,1632908.0,0,0,0,0,0,1632908.0,7380753.0,7380753.0,9013661.0,0,0,13061584.0,0,13061584.0,5555276.0,4576639.0,978637.0,54959.0,1033596.0,0,1033596.0,,0,0
18,NORTHWEST MS MEDICAL CENTER,1970 HOSPITAL DRIVE,CLARKSDALE,MS,38614,COAHOMA,R,301.39,"4,737",181,"27,331",860,"4,737",181,"27,331",860,3428.0,171.0,25821.0,860.0,0,1850819.0,321910.0,854985.0,6515912.0,9247956.0,-64235.0,15357657.0,45863764.0,86844925.0,132708689.0,1747608.0,0,6515912.0,13237.0,0,0,0,0,0,40931908.0,-32042571.0,14812.0,366274.0,0,9270423.0,0.0,0,93190.0,93190.0,9374809.0,1508841.0,0,0,0,0,408200.0,1917041.0,0,0,0,5745882.0,5745882.0,7662923.0,1711886.0,1711886.0,9374809.0,174174.0,0,46747697.0,86182104.0,132929801.0,17300640.0,15763868.0,1536772.0,110246.0,1647018.0,0,1647018.0,0.12,3808357.0,37515078.0
19,LOUIS A. WEISS MEMORIAL HOSPITAL,4646 NORTH MARINE DRIVE,CHICAGO,IL,60640,COOK,R,307.34,"7,983",119,"14,756","1,754","9,611",144,"17,856","1,887",7005.0,103.0,12772.0,1754.0,657019.0,2532665.0,1287582.0,3042815.0,15504410.0,22098724.0,826065.0,31421130.0,115733494.0,93335297.0,209068791.0,2423092.0,0,15504410.0,179055.0,0,207151.0,3716262.0,0,0,51292048.0,-34504299.0,3260024.0,754225.0,0,24886542.0,0.0,0,0,0,30103511.0,13244628.0,1765514.0,2703002.0,0,0,-5511539.0,12201605.0,0,945561.0,0,6012257.0,6957818.0,19159423.0,10944088.0,10944088.0,30103511.0,2248328.0,1980838.0,115733494.0,93660479.0,209393973.0,35692816.0,37603134.0,-1910318.0,293328.0,-1616990.0,0,-1616990.0,0.15,5716982.0,53627473.0
20,JANE PHILLIPS MEDICAL CENTER,3500 SE FRANK PHILLIPS BLVD,BARTLESVILLE,OK,74006-,WASHINGTON,R,463.64,"10,150",81,"22,113","3,146","12,567",114,"27,246","3,341",8054.0,73.0,19929.0,3146.0,4120860.0,8404632.0,7637819.0,7944545.0,23499370.0,53394925.0,4226749.0,67453887.0,82462727.0,222807576.0,305270303.0,4455643.0,0,23499370.0,9483.0,0,0,133875.0,0,0,55862941.0,-43189711.0,2598813.0,397512.0,0,16881716.0,0.0,-146802576.0,210236.0,-146592340.0,-92478391.0,2458217.0,2812096.0,130531.0,0,0,10267817.0,15668661.0,0,0,0,805799.0,805799.0,16474460.0,-108952851.0,-108952851.0,-92478391.0,1280022.0,303969.0,82462728.0,222807576.0,305270304.0,84970194.0,76894295.0,8075899.0,3994919.0,12070818.0,21744.0,12049074.0,0.22,4541563.0,25974006.0
21,ST. JOHN OWASSO,12451 E. 100TH ST. NORTH,OWASSO,OK,74055,TULSA,U,154.71,"2,192",32,"5,792",894,"2,192",32,"5,792",894,1798.0,32.0,5792.0,894.0,1071734.0,1887381.0,1957408.0,2164331.0,5002152.0,9332978.0,1108270.0,13896141.0,12958174.0,50886465.0,63844639.0,1078438.0,0,4959105.0,42087.0,0,0,9858.0,0,0,16128211.0,-11827348.0,629774.0,-1801.0,0,5746731.0,0.0,-33152568.0,157590.0,-32994978.0,11110186.0,500479.0,878106.0,36101.0,0,0,2570520.0,3985206.0,0,0,0,0,0,3985206.0,7124980.0,7124980.0,11110186.0,0,0,12952404.0,50892233.0,63844637.0,17679649.0,14335130.0,3344519.0,125259.0,3469778.0,781.0,3468997.0,0.22,985598.0,6837508.0
22,COVENANT MEDICAL CENTER,3615 19TH ST,LUBBOCK,TX,79410,LUBBOCK,U,"2,113.00","49,451",380,"68,780","8,977","49,451",380,"68,780","8,977",34819.0,283.0,51223.0,8977.0,14408637.0,1526104.0,22211245.0,22290433.0,68398208.0,133037246.0,12452915.0,192387590.0,1290665853.0,680297175.0,1970963028.0,8283144.0,0,68398208.0,876949.0,0,0,6709512.0,0,0,246877936.0,-176630949.0,8026512.0,0,61632233.0,146615244.0,0.0,0,27376526.0,27376526.0,444592321.0,13769650.0,9338487.0,0,11911119.0,0,21051944.0,61846496.0,0,-44867472.0,0,3363590.0,-41503882.0,20342614.0,424249707.0,424249707.0,444592321.0,18000303.0,356344.0,1290665853.0,680297175.0,1970963028.0,227366372.0,201435454.0,25930918.0,20275081.0,46205999.0,0,46205999.0,0.1,12316478.0,157372778.0
23,THE MCDOWELL HOSPITAL,430 RANKIN DRIVE,MARION,NC,28752,MC DOWELL,R,243.45,"2,774",49,"6,027",679,"31,541",49,"6,027",679,2636.0,40.0,4920.0,679.0,667120.0,6032153.0,2830989.0,3622343.0,6338867.0,15142503.0,1144907.0,20455594.0,13747857.0,63569890.0,77317747.0,916023.0,405805.0,6338867.0,0,0,0,4768302.0,0,0,48966636.0,-37338684.0,1392947.0,3785.0,0,19506198.0,0.0,15000.0,935711.0,950711.0,80678071.0,800000.0,2790068.0,0,0,356265.0,4965440.0,19282701.0,0,20639229.0,0,158333.0,20797562.0,40080263.0,40597808.0,40597808.0,80678071.0,0,0,13747856.0,65676735.0,79424591.0,24352149.0,21481370.0,2870779.0,2391710.0,5262489.0,0,5262489.0,0.26,1914939.0,10229217.0
24,WALTER B JONES LAKESIDE,2577 WEST FIFTH STREET,GREENVILLE,NC,27834,PITT,U,138.00,"2,377",48,"4,272",218,"2,377",48,"4,272",218,2377.0,48.0,4272.0,218.0,0,0,0,0,2308725.0,1789040.0,141496.0,4105956.0,2246773.0,0,2246773.0,0,0,2308725.0,0,0,0,0,0,0,36205.0,0,5411.0,0,0,41616.0,0.0,0,0,0,1856602.0,0,0,0,0,36183.0,0,36183.0,0,0,0,0,0,36183.0,1820419.0,1820419.0,1856602.0,0,0,29164.0,0,29164.0,29164.0,955682.0,-926518.0,7847.0,-918671.0,0,-918671.0,1.83,0,0
25,HIGHLANDS CASHIERS HOSPITAL,HIGHWAY 64E,HIGHLANDS,NC,28741-,MACON,R,84.52,"1,053",24,"2,952",77,"3,813",24,"2,952",77,201.0,24.0,2952.0,77.0,37501.0,683084.0,528132.0,627594.0,1926310.0,3193598.0,394819.0,5305943.0,1283280.0,8240647.0,9523927.0,0,0,0,0,0,0,15936.0,0,0,5464786.0,-3865655.0,544774.0,0,0,16821850.0,0.0,0,2452005.0,2452005.0,34246760.0,605690.0,429871.0,340.0,0,0,3344001.0,6157913.0,0,0,0,0,0,6157913.0,28088847.0,28088847.0,34246760.0,0,0,1283280.0,8588806.0,9872086.0,3816942.0,5119908.0,-1302966.0,2785450.0,1482484.0,0,1482484.0,0.56,162586.0,470364.0
26,WEST SUBURBAN HOSP MED CTR,3 ERIE COURT,OAK PARK,IL,60302,COOK,U,748.27,"6,863",135,"12,555","1,622","8,889",174,"16,182","1,622",4940.0,114.0,10602.0,1622.0,1327083.0,3251077.0,1917646.0,6126587.0,15056679.0,23035389.0,1523399.0,31810848.0,113202226.0,125129657.0,238331883.0,2955750.0,0,15056679.0,332696.0,0,0,-871628.0,0,0,66165259.0,-42107179.0,3814225.0,847084.0,0,31119022.0,0.0,0,0,0,35860280.0,8704926.0,3768611.0,510942.0,0,0,14434811.0,27419290.0,0,0,0,9335184.0,9335184.0,36754474.0,-894194.0,-894194.0,35860280.0,2393867.0,773013.0,113202226.0,125129657.0,238331883.0,31062884.0,38092068.0,-7029184.0,359910.0,-6669274.0,0,-6669274.0,0.13,3463291.0,73782466.0
27,GOOD SHEPHERD MEDICAL CENTER,811 SOUTH WASHINGTON,MARSHALL,TX,75670,HARRISON,U,"1,900.79","50,440",336,"89,999","13,924","55,673",361,"96,824","14,397",38915.0,263.0,70070.0,13924.0,25408326.0,123360892.0,46135616.0,46697300.0,96177537.0,191522686.0,11948352.0,254999335.0,739285122.0,1059226135.0,1798511257.0,19547053.0,0,96177537.0,3162432.0,0,0,40338489.0,0,0,412614591.0,-382844558.0,8113863.0,2296640.0,0,87349563.0,0.0,39495440.0,3395398.0,42890838.0,338372925.0,5795601.0,9875955.0,0,1909126.0,0,1613916.0,19194598.0,0,62425851.0,0,78579511.0,141005362.0,160199960.0,178172965.0,178172965.0,338372925.0,16850999.0,1826286.0,739285123.0,1059226290.0,1798511413.0,299497418.0,287700223.0,11797195.0,7794102.0,19591297.0,14154.0,19577143.0,0.14,24094833.0,218579269.0
28,KINDRED REHAB HOSPITAL CLEAR LAKE,655 E. MEDICAL CENTER BLVD.,WEBSTER,TX,77598,HARRIS,U,108.10,"6,176",60,"12,720",489,"6,176",60,"12,720",489,6176.0,60.0,12720.0,489.0,0,0,0,0,4324738.0,4809518.0,158065.0,8588297.0,15204719.0,1315233.0,16519952.0,652344.0,0,4324738.0,52344.0,0,0,2192.0,0,0,4164944.0,-1210909.0,86000.0,229252.0,0,3274533.0,0.0,0,2836389.0,2836389.0,10639269.0,586116.0,477959.0,22910.0,0,0,679644.0,1766629.0,0,0,0,8804399.0,8804399.0,10571028.0,68241.0,68241.0,10639269.0,0,0,15204719.0,1315233.0,16519952.0,9556128.0,9134256.0,421872.0,31133.0,453005.0,0,453005.0,,0,0
